Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
P/2008 Y12 (SOHO),55476.0,2454822.977,0.9787495375,23.34562318,146.6141611,312.55259069999994,0.06541368648,6.09,5.4,0.044832,4.631589210526316e-08,9.713200000000001e-11,2.7707e-10,20.567499999999995,4,P/2008 Y12 (SOHO)
P/2009 L2 (Yang-Gao),55023.0,2454973.255,0.6209298159000001,16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,0.287493,4.631589210526316e-08,9.7132e-11,2.7707e-10,20.5675,20,P/2009 L2 (Yang-Gao)
P/2009 WX51 (Catalina),55175.0,2455227.575,0.7402970340999999,9.592585691,118.0163889,31.75826735,0.7999555439,5.36,5.41,0.009226999999999999,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,19,P/2009 WX51 (Catalina)
C/2010 L5 (WISE),55379.0,2455309.645,0.9037561917,147.051681,214.729745,206.47309909999998,0.7909008329,15.64,23.56,0.11360899999999999,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,6,C/2010 L5 (WISE)
P/2011 NO1 (Elenin),55758.0,2455582.0919999997,0.776521252,15.27233838,263.6169668,296.09646019999997,1.2429255609999998,9.88,13.12,0.380652,4.631589210526316e-08,9.7132e-11,2.7706999999999995e-10,20.5675,8,P/2011 NO1 (Elenin)
C/2011 S2 (Kowalski),55857.0,2455860.848,0.9316035445,17.57253024,192.18994640000003,288.0701102,1.115118144,31.49,65.83,0.13779,4.6315892105263155e-08,9.7132e-11,2.7706999999999995e-10,20.5675,16,C/2011 S2 (Kowalski)
P/2012 NJ (La Sagra),56158.0,2456091.59,0.8480618337000001,84.37545937,338.4139159,315.7631836,1.2918900690000001,15.71,24.79,0.315258,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,31,P/2012 NJ (La Sagra)
P/2013 CU129 (PANSTARRS),56475.0,2456511.432,0.7221050362,12.14763226,211.97227169999996,46.20979967,0.8001476909999999,4.96,4.89,0.085523,4.631589210526316e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,38,P/2013 CU129 (PANSTARRS)
P/2013 TL117 (Lemmon),56674.0,2456706.719,0.6899137951000001,9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,0.20162,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,45,P/2013 TL117 (Lemmon)
P/2014 U2 (Kowalski),56974.0,2456937.65,0.6029487638000001,7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,0.183671,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,10,P/2014 U2 (Kowalski)
P/2015 A3 (PANSTARRS),57040.0,2457076.25,0.8481676984000001,172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,0.204591,4.631589210526316e-08,9.7132e-11,2.7707e-10,20.5675,1,P/2015 A3 (PANSTARRS)
C/2015 D1 (SOHO),57073.0,2457073.248,0.9942677736,69.61628937,234.95301659999998,95.88138486,0.02832105639,9.85,10.98,0.5159159999999999,1.25e-06,9.7132e-11,2.7707e-10,20.5675,3,C/2015 D1 (SOHO)
C/2015 F2 (Polonia),57110.0,2457141.3430000003,0.9623991817,28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,0.198704,4.631589210526316e-08,9.7132e-11,2.7707e-10,20.5675,6,C/2015 F2 (Polonia)
C/2015 F5 (SWAN-Xingming),57124.0,2457109.599,0.9777341145999999,149.2569445,13.39233003,287.7390236,0.3460051321,30.73,61.26,0.441413,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,2,C/2015 F5 (SWAN-Xingming)
