Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
73P/Schwassmann-Wachmann 3-AO,53839.0,2453894.351,0.6937687739,11.32588494,198.1671916,70.388797,0.9407501623000001,5.2,5.38,0.040747000000000005,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.567500000000006,3,73P/Schwassmann-Wachmann 3-AO
73P/Schwassmann-Wachmann 3-AP,53856.0,2453893.11,0.7014300924,11.46590929,198.74262050000002,69.9669785,0.9387454286,5.35,5.58,0.040996,4.6315892105263155e-08,9.713200000000003e-11,2.7707e-10,20.567500000000006,8,73P/Schwassmann-Wachmann 3-AP
73P/Schwassmann-Wachmann 3-AQ,53856.0,2453894.4,0.6959119088,11.41369562,198.77131640000002,69.92072504,0.9390064365,5.24,5.43,0.04079,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.56750000000001,9,73P/Schwassmann-Wachmann 3-AQ
73P/Schwassmann-Wachmann 3-AR,53839.0,2453893.3109999998,0.695799013,11.40652255,198.7098466,69.96630168,0.9392047604000001,5.24,5.43,0.040648000000000004,4.6315892105263155e-08,9.713199999999997e-11,2.7707000000000006e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-AR
73P/Schwassmann-Wachmann 3-AS,53852.0,2453892.7630000003,0.7009701053,11.46096714,198.7247614,69.97402026,0.93882735,5.34,5.56,0.041109,4.631589210526316e-08,9.713199999999998e-11,2.7707e-10,20.567499999999995,6,73P/Schwassmann-Wachmann 3-AS
73P/Schwassmann-Wachmann 3-AT,53839.0,2453892.789,0.6869322275,11.33462061,198.8104065,69.84813048,0.9396287904,5.06,5.2,0.040208,4.631589210526316e-08,9.713200000000002e-11,2.7707e-10,20.5675,2,73P/Schwassmann-Wachmann 3-AT
73P/Schwassmann-Wachmann 3-AU,53839.0,2453894.598,0.6928223535,11.38220585,198.7583062,69.91454526,0.9392979588,5.18,5.35,0.040499,4.6315892105263155e-08,9.713199999999998e-11,2.7707e-10,20.5675,1,73P/Schwassmann-Wachmann 3-AU
73P/Schwassmann-Wachmann 3-AV,53839.0,2453892.996,0.6933582331999999,11.3951153,198.8335456,69.88524741,0.9390242876,5.19,5.36,0.040526,4.631589210526316e-08,9.713199999999998e-11,2.7707000000000006e-10,20.567500000000003,1,73P/Schwassmann-Wachmann 3-AV
73P/Schwassmann-Wachmann 3-AW,53839.0,2453894.409,0.6773014639,11.23959642,198.83397380000002,69.79453062,0.9402577564,4.89,4.97,0.039791,4.6315892105263155e-08,9.713200000000002e-11,2.7707000000000006e-10,20.567500000000003,2,73P/Schwassmann-Wachmann 3-AW
73P/Schwassmann-Wachmann 3-AX,53839.0,2453895.999,0.6924701264,11.42778528,199.25127030000002,69.46695211,0.9380095395999999,5.16,5.33,0.040309,4.631589210526316e-08,9.713200000000006e-11,2.7707000000000006e-10,20.567500000000006,1,73P/Schwassmann-Wachmann 3-AX
73P/Schwassmann-Wachmann 3-AY,53839.0,2453895.402,0.675089956,11.22586964,198.9220318,69.71151968,0.9401934034999999,4.85,4.92,0.039663,4.631589210526316e-08,9.7132e-11,2.7707e-10,20.567500000000006,2,73P/Schwassmann-Wachmann 3-AY
73P/Schwassmann-Wachmann 3-AZ,53839.0,2453893.205,0.6750699862,11.22070941,198.86703889999998,69.76425986,0.9403177776,4.85,4.92,0.039697,4.6315892105263155e-08,9.713199999999998e-11,2.7707e-10,20.567499999999995,1,73P/Schwassmann-Wachmann 3-AZ
73P/Schwassmann-Wachmann 3-BA,53839.0,2453893.044,0.6824329214,11.27075096,198.6920226,69.9209975,0.9402477901999999,4.98,5.09,0.040053,4.631589210526316e-08,9.713200000000001e-11,2.7707e-10,20.567499999999995,1,73P/Schwassmann-Wachmann 3-BA
73P/Schwassmann-Wachmann 3-BB,53839.0,2453893.591,0.6824329214,11.19018461,197.928567,70.47094006,0.942420571,4.99,5.11,0.040143,4.6315892105263155e-08,9.713200000000001e-11,2.7707e-10,20.5675,1,73P/Schwassmann-Wachmann 3-BB
73P/Schwassmann-Wachmann 3-BC,53856.0,2453893.107,0.7004675151,11.45870615,198.74613269999998,69.95554651,0.9388074048999999,5.33,5.55,0.040954000000000004,4.6315892105263155e-08,9.713200000000001e-11,2.7706999999999995e-10,20.5675,7,73P/Schwassmann-Wachmann 3-BC
73P/Schwassmann-Wachmann 3-BD,53839.0,2453892.675,0.6824392137,10.97454826,196.463131,71.41848297,0.9461555836,5.01,5.14,0.040389,4.631589210526316e-08,9.713200000000005e-11,2.7707000000000006e-10,20.567500000000003,1,73P/Schwassmann-Wachmann 3-BD
73P/Schwassmann-Wachmann 3-BE,53839.0,2453893.475,0.6824392137,11.3165548,199.00413369999998,69.69353535,0.9394213409000001,4.98,5.09,0.039983,4.6315892105263155e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000003,1,73P/Schwassmann-Wachmann 3-BE
73P/Schwassmann-Wachmann 3-BF,53856.0,2453893.5640000002,0.6856738995,11.32197626,198.80979950000003,69.83455705,0.9395742939,5.04,5.17,0.040397,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000003,2,73P/Schwassmann-Wachmann 3-BF
73P/Schwassmann-Wachmann 3-BG,53839.0,2453895.307,0.6847548055,11.32450054,198.9548257,69.72079452,0.9393418344,5.02,5.14,0.040107,4.631589210526316e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000006,1,73P/Schwassmann-Wachmann 3-BG
73P/Schwassmann-Wachmann 3-BH,53839.0,2453895.153,0.6824392137,11.28940623,198.8380688,69.80392621,0.9398162468000001,4.98,5.09,0.040047,4.6315892105263155e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567499999999995,1,73P/Schwassmann-Wachmann 3-BH
73P/Schwassmann-Wachmann 3-BI,53856.0,2453895.226,0.6824626795000001,11.30045753,198.91279740000002,69.75258615,0.9397650973999999,4.98,5.09,0.040062,4.631589210526316e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,3,73P/Schwassmann-Wachmann 3-BI
73P/Schwassmann-Wachmann 3-BJ,53839.0,2453895.1859999998,0.6910944882,11.37022892,198.7979116,69.87876452,0.9392529208,5.14,5.3,0.040461000000000004,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.5675,2,73P/Schwassmann-Wachmann 3-BJ
73P/Schwassmann-Wachmann 3-BK,53839.0,2453895.397,0.6915428054,11.37077721,198.775388,69.89745388,0.9392666356999999,5.15,5.31,0.040494,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,2,73P/Schwassmann-Wachmann 3-BK
73P/Schwassmann-Wachmann 3-BL,53839.0,2453895.363,0.6962237189,11.409361500000001,198.6994292,69.97335799,0.9390996615,5.24,5.44,0.040742,4.631589210526316e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567500000000003,2,73P/Schwassmann-Wachmann 3-BL
73P/Schwassmann-Wachmann 3-BM,53839.0,2453895.516,0.6824392137,11.29433257,198.861349,69.7755882,0.9397568629,4.98,5.09,0.040041,4.6315892105263155e-08,9.713200000000003e-11,2.7707000000000006e-10,20.567500000000003,1,73P/Schwassmann-Wachmann 3-BM
73P/Schwassmann-Wachmann 3-BN,53856.0,2453894.712,0.6917715065000001,11.37744926,198.7947706,69.88153448,0.9391857445999999,5.15,5.32,0.040649,4.631589210526316e-08,9.7132e-11,2.7707000000000006e-10,20.567500000000003,3,73P/Schwassmann-Wachmann 3-BN
73P/Schwassmann-Wachmann 3-BO,53856.0,2453894.772,0.6918275631,11.37615727,198.77155359999998,69.89197757,0.9392190689,5.16,5.32,0.040677,4.6315892105263155e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000006,3,73P/Schwassmann-Wachmann 3-BO
73P/Schwassmann-Wachmann 3-BP,53856.0,2453894.892,0.6824534537000001,11.29077484,198.8488389,69.81061093,0.9397832677,4.98,5.09,0.040186,4.6315892105263155e-08,9.7132e-11,2.7707000000000006e-10,20.567499999999995,1,73P/Schwassmann-Wachmann 3-BP
73P/Schwassmann-Wachmann 3-BQ,53856.0,2453894.8,0.6924538802,11.38826125,198.81984630000002,69.86577521,0.9391556634999999,5.17,5.34,0.040612,4.631589210526316e-08,9.713200000000002e-11,2.7707e-10,20.567499999999995,2,73P/Schwassmann-Wachmann 3-BQ
73P/Schwassmann-Wachmann 3-BR,53856.0,2453892.736,0.6851541342,11.31924783,198.84129240000001,69.82671175,0.9396017862,5.03,5.16,0.040313,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,2,73P/Schwassmann-Wachmann 3-BR
73P/Schwassmann-Wachmann 3-BS,53856.0,2453892.278,0.6985735462,11.44446449,198.76852319999998,69.93999714,0.9389486718000001,5.29,5.5,0.040824,4.6315892105263155e-08,9.713199999999998e-11,2.7707e-10,20.5675,1,73P/Schwassmann-Wachmann 3-BS
79P/du Toit-Hartley,56558.0,2456527.786,0.61851349,3.145618792,281.68931729999997,280.6403369,1.1238053209999999,4.77,5.06,0.134779,-4.8700000000000004e-11,-3.3e-11,2.770700000000001e-10,20.5675,16,79P/du Toit-Hartley
85P/Boethin,54252.0,2454813.247,0.7811606262,4.295294591,37.61838461,359.3961137,1.1346574520000001,9.24,11.81,0.149899,0.0,0.0,2.7707000000000006e-10,20.567500000000003,23,85P/Boethin
96P/Machholz 1,56541.0,2456123.3230000003,0.9592118287000001,58.31221424,14.7577484,94.32323631,0.1237488531,5.94,5.28,0.333731,1.0699999999999999e-10,-9.379999999999998e-13,2.7707000000000006e-10,20.567500000000003,53,96P/Machholz 1
103P/Hartley 2,56981.0,2457863.8230000003,0.693780472,13.60427243,181.3222858,219.74874509999998,1.064195154,5.89,6.48,0.072005,4.631589210526316e-08,9.713200000000002e-11,2.770700000000001e-10,20.567500000000003,252,103P/Hartley 2
104P/Kowal 2,57090.0,2457473.288,0.6385203614,10.25097305,200.6509533,235.44149590000004,1.178758464,5.34,5.89,0.20219700000000002,2.2599999999999997e-08,-5.479999999999999e-09,1.3300000000000002e-09,20.567499999999995,24,104P/Kowal 2
109P/Swift-Tuttle,50000.0,2448968.5,0.963225755,113.45381699999999,152.9821676,139.3811921,0.9595161551000001,51.22,133.28,0.000892,4.6315892105263155e-08,9.713200000000002e-11,2.7707000000000006e-10,20.567499999999995,32,109P/Swift-Tuttle
122P/de Vico,50280.0,2449996.5,0.9627088868000001,85.38275311,12.99609194,79.62450069,0.6593373359,34.7,74.35,0.316817,4.631589210526316e-08,9.713199999999998e-11,2.7707000000000006e-10,20.5675,27,122P/de Vico
141P/Machholz 2-A,53480.0,2453429.749,0.7501239591,12.79506334,149.28443430000002,246.16159040000002,0.7528498784000001,5.27,5.23,0.105492,-2.8100000000000004e-09,1.03e-10,5.99e-10,20.5675,75,141P/Machholz 2-A
141P/Machholz 2-D,51520.0,2451522.455,0.7510624112000001,12.81184124,149.2918108,246.13363430000004,0.7490056934999999,5.27,5.22,0.10781400000000001,2.27e-08,5.86e-09,2.7707000000000006e-10,20.5675,11,141P/Machholz 2-D
161P/Hartley-IRAS,52749.0,2453542.365,0.8350738462999999,95.69806815,47.13845023,1.415670065,1.27343339,14.17,21.46,0.447763,4.6315892105263155e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000003,59,161P/Hartley-IRAS
162P/Siding Spring,53529.0,2453319.778,0.5972436348,27.84477766,356.3636966,31.25192352,1.227689026,4.87,5.32,0.232183,4.6315892105263155e-08,9.7132e-11,2.770700000000001e-10,20.567500000000003,86,162P/Siding Spring
169P/NEAT,54296.0,2453631.0130000003,0.7669277193,11.30444069,217.97608780000002,176.2204118,0.6069807513000001,4.6,4.2,0.142644,4.631589210526315e-08,9.713200000000001e-11,2.770700000000001e-10,20.567500000000003,114,169P/NEAT
177P/Barnard,53542.0,2453976.192,0.9545011069,31.1792882,60.34965167,272.1861491,1.107319662,47.57,120.07,0.31003000000000003,4.6315892105263155e-08,9.713199999999998e-11,2.770700000000001e-10,20.567499999999995,27,177P/Barnard
181P/Shoemaker-Levy 6,56908.0,2456818.826,0.7073228279000001,16.98117917,333.7988486,37.67945772,1.123593041,6.55,7.52,0.156355,-2.9100000000000005e-09,-8.640000000000001e-11,2.770700000000001e-10,20.567499999999995,16,181P/Shoemaker-Levy 6
182P/LONEOS,53241.0,2454137.333,0.66634233,16.90929665,51.43384257,75.10006349,0.9780224592,4.88,5.02,0.109366,4.6315892105263155e-08,9.713199999999998e-11,2.770700000000001e-10,20.5675,61,182P/LONEOS
185P/Petriew,56498.0,2456153.046,0.6993210375,14.00701804,181.9403336,214.09101769999998,0.9320143357999999,5.27,5.46,0.060833000000000005,4.631589210526315e-08,1.72e-10,2.7707000000000006e-10,20.5675,43,185P/Petriew
189P/NEAT,56364.0,2456128.957,0.5967955467,20.3759014,15.39713787,282.144161,1.177562746,4.66,4.99,0.170302,-7.42e-10,-4.9e-11,2.7707000000000006e-10,20.5675,56,189P/NEAT
197P/LINEAR,56717.0,2456376.326,0.6296602372,25.54272525,188.7289004,66.38824615,1.061393391,4.67,4.85,0.051317999999999996,-1.33e-10,1.6699999999999998e-11,7.17e-11,20.5675,46,197P/LINEAR
206P/Barnard-Boattini,51606.0,2450626.305,0.6886420879,31.97414822,179.57494930000001,205.26032469999998,0.9788121331999999,5.31,5.57,0.01839,4.631589210526315e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000003,12,206P/Barnard-Boattini
207P/NEAT,54069.0,2454776.877,0.7569889079000001,10.14995411,271.195627,200.67422119999998,0.943996196,6.83,7.66,0.147585,4.631589210526314e-08,9.713200000000001e-11,2.7707000000000006e-10,20.567500000000003,64,207P/NEAT
209P/LINEAR,55720.0,2454938.94,0.6923704601999999,19.44782985,150.4693054,65.46431318,0.9016688219,4.96,5.02,0.051186,4.631589210526315e-08,9.713199999999998e-11,2.7707000000000006e-10,20.567499999999995,130,209P/LINEAR
210P/Christensen,56908.0,2456886.746,0.8325032627,10.24010578,345.8255534,93.82650012,0.5313139132,5.81,5.65,0.170738,2.13e-10,5.2299999999999996e-11,-6.02e-10,20.567499999999995,42,210P/Christensen
217P/LINEAR,54831.0,2455083.48,0.6896427559999999,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,0.306437,4.6315892105263155e-08,9.713200000000001e-11,2.7707e-10,20.5675,113,217P/LINEAR
222P/LINEAR,54553.0,2455075.7,0.7267693964,5.14614339,345.42488560000004,7.132384188,0.7807614948999999,4.93,4.83,0.062285,4.6315892105263155e-08,9.713200000000002e-11,2.7707e-10,20.5675,31,222P/LINEAR
225P/LINEAR,52717.0,2452555.598,0.6637644632999999,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,0.194983,4.6315892105263155e-08,9.7132e-11,2.7707e-10,20.5675,42,225P/LINEAR
249P/LINEAR,54112.0,2453976.035,0.8161483931,8.4340952,64.04057029,240.64608629999998,0.5105855707,5.04,4.63,0.052649,4.631589210526316e-08,9.7132e-11,2.7707e-10,20.5675,21,249P/LINEAR
252P/LINEAR,52306.0,2451613.458,0.6724112481,10.38105211,343.28268189999994,190.9962851,1.001368431,5.11,5.34,0.017388999999999998,4.6315892105263155e-08,9.713199999999997e-11,2.7707e-10,20.567500000000003,25,252P/LINEAR
255P/Levy,56981.0,2457876.215,0.6681889017,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,0.024516999999999997,7.33e-09,-4.15e-09,2.7706999999999995e-10,20.567500000000003,37,255P/Levy
262P/McNaught-Russell,55913.0,2456265.9590000003,0.8154028826,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,0.291456,4.6315892105263155e-08,9.713199999999997e-11,2.7707000000000006e-10,20.567499999999995,39,262P/McNaught-Russell
263P/Gibbs,54246.0,2454098.266,0.5869803961,14.471176500000002,26.31548584,113.35085759999998,1.251302076,4.81,5.27,0.284398,4.6315892105263155e-08,9.713199999999997e-11,2.7707000000000006e-10,20.567499999999995,15,263P/Gibbs
